gsis_id,display_name,position,fantasy_ppg,n_games,replacement_ppg,vor,boom_prob,bust_prob,ex_value
00-0033280,Christian McCaffrey,RB,24.50588235294118,17,12.129411764705884,12.376470588235295,0.05537315074262093,0.944626849257379,12.47721715014525
00-0039075,Puka Nacua,WR,23.4375,16,12.479999999999999,10.957500000000001,0.13307044306312543,0.8669295569368746,11.206607869414173
00-0038542,Bijan Robinson,RB,21.811764705882354,17,12.129411764705884,9.68235294117647,0.14199749144807206,0.858002508551928,9.940704847675816
00-0039139,Jahmyr Gibbs,RB,21.582352941176474,17,12.129411764705884,9.45294117647059,0.0777634458891714,0.9222365541108286,9.594424904785418
00-0037744,Trey McBride,TE,22.288235294117648,17,12.847058823529412,9.441176470588236,,,
00-0036223,Jonathan Taylor,RB,21.311764705882354,17,12.129411764705884,9.18235294117647,0.05535318646729715,0.9446468135327029,9.283063179849028
00-0038543,Jaxon Smith-Njigba,WR,21.17058823529412,17,12.479999999999999,8.69058823529412,0.15051396519648932,0.8494860348035107,8.972350378141948
00-0039040,De'Von Achane,RB,20.175,16,12.129411764705884,8.045588235294117,0.12582911087351925,0.8741708891264808,8.274523199959878
00-0036900,Ja'Marr Chase,WR,19.6,16,12.479999999999999,7.120000000000003,0.11786081916834254,0.8821391808316574,7.34063545348314
00-0036963,Amon-Ra St. Brown,WR,19.058823529411764,17,12.479999999999999,6.578823529411766,0.09600455563175744,0.9039954443682425,6.758544057554416
00-0039067,Rashee Rice,WR,18.7625,8,12.479999999999999,6.282500000000001,0.1123347412901041,0.8876652587098959,6.4927906356950755
00-0037248,James Cook,RB,17.7764705882353,17,12.129411764705884,5.647058823529415,0.10327743284344118,0.8967225671565588,5.834962999873394
00-0034857,Josh Allen,QB,26.53875,16,21.520000000000003,5.018749999999997,0.08306889430185223,0.9169311056981477,5.286896390806376
00-0026498,Matthew Stafford,QB,26.492941176470588,17,21.520000000000003,4.972941176470584,0.04642015308061835,0.9535798469193817,5.122785430614821
00-0037247,George Pickens,WR,17.170588235294115,17,12.479999999999999,4.690588235294117,0.13357460365564178,0.8664253963443582,4.940639893337478
00-0039338,Brock Bowers,TE,17.349999999999998,12,12.847058823529412,4.502941176470586,,,
